area_type,location,total_sqft,bath,BHK,balcony,PRICE rs
Built-up  Area,"Banaswadi, ",3161,4,4,3,"₹ 21,400,000.00"
Built-up  Area,BTM 2nd Stage,1850,3,3,0,"₹ 17,000,000.00"
Built-up  Area,Sompura,1025,2,3,0,"₹ 3,700,000.00"
Built-up  Area,Malleshwaram,1124,3,2,2,"₹ 8,000,000.00"
Super built-up  Area,Balagere,1012,2,2,1,"₹ 5,459,000.00"
Super built-up  Area,Giri Nagar,4500,5,7,3,"₹ 25,000,000.00"
Super built-up  Area,8th Phase JP Nagar,871,2,2,2,"₹ 5,500,000.00"
Built-up  Area,Chinnapanahalli,1020,2,2,2,"₹ 4,000,000.00"
Super built-up  Area,Rachenahalli,1550,3,3,3,"₹ 7,350,000.00"
Plot  Area,Anand Nagar,3515,3,3,1,"₹ 42,000,000.00"
Super built-up  Area,Akshaya Nagar,1410,2,3,2,"₹ 8,000,000.00"
Plot  Area,Chikka Tirupathi,3500,5,4,3,"₹ 15,000,000.00"
Super built-up  Area,Whitefield,1118,2,2,1,"₹ 7,500,000.00"
Super built-up  Area,Thanisandra,1098,2,2,1,"₹ 6,800,000.00"
Super built-up  Area,Kanakapura,1130,2,2,1,"₹ 4,520,000.00"
Super built-up  Area,Sarjapur  Road,1145,2,2,2,"₹ 7,500,000.00"
Plot  Area,Kadugodi,950,3,3,1,"₹ 8,000,000.00"
Super built-up  Area,Balaji Gardens Layout,1051,2,2,1,"₹ 3,300,000.00"
Plot  Area,Thavarekere,600,7,7,0,"₹ 10,800,000.00"
Super built-up  Area,Marathahalli,1102,2,2,2,"₹ 5,367,000.00"
Super built-up  Area,Jalahalli,1478,2,2,2,"₹ 12,500,000.00"
Super built-up  Area,Chandapura,645,1,1,1,"₹ 1,645,000.00"
Carpet  Area,Hebbal,823,2,2,1,"₹ 5,063,000.00"
Super built-up  Area,Abbigere,880,2,2,1,"₹ 3,500,000.00"
Built-up  Area,KR Puram,600,5,4,2,"₹ 7,500,000.00"
Super built-up  Area,Budigere,1991,4,3,2,"₹ 10,000,000.00"
Built-up  Area,TC Palaya,1100,3,3,1,"₹ 5,000,000.00"
Super built-up  Area,Gubbalala,1745,3,3,2,"₹ 11,500,000.00"
Built-up  Area,HAL 2nd Stage,1226,3,2,1,"₹ 13,500,000.00"
Plot  Area,Begur Road,680,4,3,1,"₹ 6,800,000.00"
Super built-up  Area, Devarabeesana Halli,1100,2,2,1,"₹ 7,000,000.00"
Plot  Area,Banashankari Stage VI,1200,4,4,3,"₹ 19,500,000.00"
Super built-up  Area,5th Phase JP Nagar,1450,2,2,1,"₹ 5,800,000.00"
Super built-up  Area,Singasandra,3366,4,4,0,"₹ 12,000,000.00"
Built-up  Area,Sahakara Nagar,1150,2,2,1,"₹ 5,400,000.00"
Super built-up  Area,Kanakpura Road,1843,3,3,2,"₹ 9,584,000.00"
Plot  Area,Banashankari Stage VI,2200,4,4,2,"₹ 19,500,000.00"
Built-up  Area,Bommanahalli,1090,3,2,2,"₹ 4,400,000.00"
Super built-up  Area,Kaggadasapura,1132,2,2,2,"₹ 4,200,000.00"
Super built-up  Area,Hulimavu,1375,2,2,2,"₹ 8,000,000.00"
Plot  Area,7th Phase JP Nagar,1500,5,4,3,"₹ 22,000,000.00"
Super built-up  Area,Thanisandra,760,1,1,2,"₹ 5,030,000.00"
Super built-up  Area,Kaggadasapura,1180,2,2,2,"₹ 6,500,000.00"
Super built-up  Area,Jigani,918,2,2,2,"₹ 4,500,000.00"
Plot  Area,Rachenahalli,600,5,5,0,"₹ 5,000,000.00"
Built-up  Area,Margondanahalli,1200,1,2,0,"₹ 5,300,000.00"
Super built-up  Area,HSR Layout,1372,2,2,1,"₹ 6,100,000.00"
Plot  Area,1st Block HRBR Layout,2400,7,7,3,"₹ 35,500,000.00"
Super built-up  Area,Ardendale,1728,3,3,2,"₹ 9,500,000.00"
Super built-up  Area,Malleshwaram,2215,3,3,1,"₹ 27,500,000.00"
Super built-up  Area,BTM 2nd Stage,1200,2,2,2,"₹ 8,000,000.00"
Super built-up  Area,6th Phase JP Nagar,1280,2,2,0,"₹ 5,600,000.00"
Plot  Area,Hulimavu,800,4,4,0,"₹ 11,000,000.00"
Super built-up  Area,Byrasandra,1455,2,3,2,"₹ 5,600,000.00"
Super built-up  Area, Rachenahalli,440,1,1,0,"₹ 2,800,000.00"
Plot  Area,Kanakpura Road,1500,3,3,2,"₹ 9,700,000.00"
Super built-up  Area,Whitefield,1800,3,3,0,"₹ 11,000,000.00"
Super built-up  Area,Mysore Road,1525,3,3,2,"₹ 9,600,000.00"
Super built-up  Area,Rachenahalli,1204,2,2,3,"₹ 3,850,000.00"
Super built-up  Area,Old Madras Road,1225,2,2,1,"₹ 5,355,000.00"
Built-up  Area,Kalyan nagar,800,6,6,3,"₹ 9,800,000.00"
Super built-up  Area,Bannerghatta Road,1650,3,3,0,"₹ 12,200,000.00"
Built-up  Area,Electronic City,880,2,3,1,"₹ 1,800,000.00"
Built-up  Area,Bikasipura,4200,4,4,2,"₹ 25,500,000.00"
Plot  Area,Tippenahalli,1200,2,2,0,"₹ 5,500,000.00"
Plot  Area,Sarjapur  Road,1152,4,4,1,"₹ 23,000,000.00"
Super built-up  Area,9th Phase JP Nagar,1005,2,2,1,"₹ 4,200,000.00"
Super built-up  Area,Whitefield,1562,3,3,2,"₹ 10,300,000.00"
Built-up  Area,Devanahalli,5000,5,4,2,"₹ 39,500,000.00"
Plot  Area,Babusapalaya,810,5,6,2,"₹ 9,500,000.00"
Super built-up  Area,Ramamurthy Nagar,1200,2,2,3,"₹ 4,200,000.00"
Super built-up  Area,Kasavanhalli,1555,3,3,2,"₹ 8,250,000.00"
Plot  Area,KR Puram,1550,2,2,1,"₹ 7,100,000.00"
Super built-up  Area,Whitefield,1190,2,2,2,"₹ 6,700,000.00"
Built-up  Area,Chikkalasandra,1070,2,2,2,"₹ 5,000,000.00"
Super built-up  Area,Jalahalli East,1020,2,2,1,"₹ 4,248,000.00"
Super built-up  Area,Yelahanka,1610,3,3,1,"₹ 11,500,000.00"
Super built-up  Area,Prestige Sunrise,700,1,1,1,"₹ 4,100,000.00"
Super built-up  Area,Akshaya Vana,1300,2,3,1,"₹ 4,900,000.00"
Super built-up  Area,Hebbal,1420,2,2,1,"₹ 12,300,000.00"
Plot  Area,Vidyaranyapura,1200,9,9,2,"₹ 10,000,000.00"
Carpet  Area,Hebbal,1069,3,3,2,"₹ 6,540,000.00"
Super built-up  Area,Marathahalli,1900,3,3,3,"₹ 12,300,000.00"
Super built-up  Area,Old Airport Road,1655,2,2,1,"₹ 9,765,000.00"
Super built-up  Area,Uttarahalli,1155,2,2,2,"₹ 4,042,000.00"
Built-up  Area,Sarjapur  Road,1300,2,3,2,"₹ 7,000,000.00"
Super built-up  Area,Electronic City,1100,2,2,2,"₹ 4,500,000.00"
Super built-up  Area,Doddathoguru,1030,2,2,2,"₹ 4,200,000.00"
Super built-up  Area,Vittasandra,2105,2,2,1,"₹ 7,020,000.00"
Built-up  Area,Bhoganhalli,1700,3,3,2,"₹ 12,600,000.00"
Super built-up  Area,Jakkur,1760,3,3,2,"₹ 13,900,000.00"
Built-up  Area,Kadugodi,6200,9,9,0,"₹ 20,000,000.00"
Built-up  Area,1st Stage Indira Nagar,1400,2,2,1,"₹ 6,700,000.00"
Super built-up  Area,Srigandada Kaval,1200,2,2,0,"₹ 5,300,000.00"
Built-up  Area,Bannerghatta Road,912,2,2,1,"₹ 5,500,000.00"
Super built-up  Area,Whitefield,1102,2,2,1,"₹ 4,800,000.00"
Super built-up  Area,Channasandra Layout,1535,3,3,1,"₹ 5,500,000.00"
Super built-up  Area,Haralur Road,1243,2,2,2,"₹ 4,600,000.00"
Super built-up  Area,Jigani,918,2,2,2,"₹ 6,320,000.00"
Super built-up  Area,Begur Road,1500,2,3,3,"₹ 7,000,000.00"
Plot  Area,Mathikere Extension,3000,3,3,0,"₹ 25,000,000.00"
Super built-up  Area,Kasavanhalli,1476,3,3,0,"₹ 8,900,000.00"
Super built-up  Area,Mysore Road,1200,2,2,3,"₹ 6,500,000.00"
Super built-up  Area,Vijayanagar,606,1,1,0,"₹ 3,478,000.00"
Super built-up  Area,Viswajit Layout,1100,2,2,3,"₹ 6,100,000.00"
Super built-up  Area,Garudachar Palya,1295,2,3,1,"₹ 5,950,000.00"
Built-up  Area,Neeladri Nagar,527,1,1,0,"₹ 2,600,000.00"
Super built-up  Area,OMBR Layout,1300,2,2,2,"₹ 8,000,000.00"
Plot  Area,Bommanahalli,680,4,3,1,"₹ 6,800,000.00"
Plot  Area,Adityanagar,1260,1,1,0,"₹ 4,100,000.00"
Built-up  Area,Koramangala,1140,2,2,1,"₹ 7,520,000.00"
Plot  Area,BDS Layout,1500,1,1,0,"₹ 3,750,000.00"
Super built-up  Area,Whitefield,2321,4,3,1,"₹ 12,800,000.00"
Super built-up  Area,Sarjapur  Road,1390,2,2,2,"₹ 6,200,000.00"
Super built-up  Area,Sarjapur  Road,1725,3,3,3,"₹ 9,000,000.00"
Super built-up  Area,Hebbal,3067,4,4,1,"₹ 31,000,000.00"
Super built-up  Area,Hennur Road,1186,2,3,1,"₹ 6,300,000.00"
Super built-up  Area,Kanakpura Road,1230,2,2,1,"₹ 8,500,000.00"
Built-up  Area, Mysore Highway,600,1,1,1,"₹ 1,700,000.00"
Super built-up  Area,Yeshwanthpur,1313,3,3,1,"₹ 9,600,000.00"
Plot  Area,TC Palaya,900,2,2,0,"₹ 5,500,000.00"
Super built-up  Area,Ambalipura,1250,2,2,2,"₹ 6,625,000.00"
Plot  Area,HBR Layout,1200,6,9,3,"₹ 28,000,000.00"
Super built-up  Area,Binny Pete,660,1,1,1,"₹ 5,400,000.00"
Super built-up  Area,Basavangudi,1036,2,2,2,"₹ 10,500,000.00"
Built-up  Area,Koramangala,2700,4,4,3,"₹ 45,000,000.00"
Super built-up  Area,Old Madras Road,1100,2,2,1,"₹ 7,000,000.00"
Plot  Area,BTM 2nd Stage,1500,2,4,1,"₹ 45,000,000.00"
Plot  Area,Singasandra,525,5,4,2,"₹ 5,600,000.00"
Built-up  Area,Electronics City Phase 1,1015,2,2,1,"₹ 5,600,000.00"
Plot  Area,Gottigere,812,1,1,0,"₹ 2,600,000.00"
Built-up  Area,Narayana Nagar 1st Block,1360,2,3,2,"₹ 6,500,000.00"
Super built-up  Area,Nehru Nagar,2167,3,3,3,"₹ 17,000,000.00"
Super built-up  Area,Raja Rajeshwari Nagar,1200,2,2,1,"₹ 3,500,000.00"
Super built-up  Area,Gopalkrishna Nagar,1165,2,2,2,"₹ 7,500,000.00"
Super built-up  Area,BTM 2nd Stage,1274,2,2,2,"₹ 7,000,000.00"
Super built-up  Area,Raja Rajeshwari Nagar,1151,2,2,2,"₹ 3,902,000.00"
Plot  Area,Vidyaranyapura,1060,6,6,3,"₹ 11,000,000.00"
Super built-up  Area,Thubarahalli,1626,2,3,2,"₹ 12,000,000.00"
Super built-up  Area,Banashankari Stage V,1035,2,2,2,"₹ 3,577,000.00"
Plot  Area,Shanthi Layout,1272,4,3,0,"₹ 7,500,000.00"
Built-up  Area,Jeevan bima nagar,965,2,2,1,"₹ 4,500,000.00"
Plot  Area,Esther Enclave Layout,1600,5,5,2,"₹ 14,000,000.00"
Super built-up  Area,Kothannur,1070,2,2,1,"₹ 4,279,000.00"
Built-up  Area,Raja Rajeshwari Nagar,1570,2,3,2,"₹ 6,500,000.00"
Super built-up  Area,Keerthi Layout,780,2,2,2,"₹ 2,500,000.00"
Super built-up  Area,Ganga Nagar Extension,1000,2,3,1,"₹ 6,500,000.00"
Plot  Area,9th Phase JP Nagar,1200,3,4,2,"₹ 18,800,000.00"
Built-up  Area,Tindlu,7500,7,7,2,"₹ 40,000,000.00"
Built-up  Area,5th Phase JP Nagar,1700,2,3,3,"₹ 10,000,000.00"
Super built-up  Area,Haralur Road,1850,3,3,0,"₹ 11,000,000.00"
Built-up  Area,Kereguddadahalli,904,2,2,1,"₹ 3,000,000.00"
Super built-up  Area,Shikaripalya,1121,2,2,1,"₹ 4,372,000.00"
Super built-up  Area,7th Phase JP Nagar,1385,2,3,2,"₹ 5,817,000.00"
Super built-up  Area,Sahakara Nagar,1270,2,2,1,"₹ 6,985,000.00"
Super built-up  Area,Kanakpura Road,1450,3,3,3,"₹ 5,600,000.00"
Plot  Area,Huttanahalli,2400,4,3,2,"₹ 32,500,000.00"
Super built-up  Area,Mahadevpura,730,1,1,1,"₹ 3,500,000.00"
Super built-up  Area,Raja Rajeshwari Nagar,1580,3,3,3,"₹ 5,356,000.00"
Super built-up  Area,Thanisandra,1111,2,2,1,"₹ 5,000,000.00"
Plot  Area,Kengeri,1125,2,4,1,"₹ 8,800,000.00"
Super built-up  Area,Varthur,977,2,2,2,"₹ 3,600,000.00"
Super built-up  Area,Gunjur Palya,674,1,2,1,"₹ 1,990,000.00"
Plot  Area,Nagarbhavi,600,3,3,1,"₹ 8,300,000.00"
Plot  Area,Sarjapur,2540,4,4,1,"₹ 11,500,000.00"
Super built-up  Area,Jakkur,1290,2,2,1,"₹ 10,000,000.00"
Plot  Area,Kumaraswami Layout,600,3,3,1,"₹ 9,800,000.00"
Super built-up  Area,Abbigere,795,2,2,1,"₹ 3,254,000.00"
Super built-up  Area,Kanakpura Road,700,1,2,1,"₹ 3,500,000.00"
Built-up  Area,Ambedkar Colony,1463,1,2,1,"₹ 14,200,000.00"
Built-up  Area,Vijayanagar,1000,3,3,0,"₹ 14,000,000.00"
Super built-up  Area,Reliable Woods Layout,1306,2,3,2,"₹ 5,800,000.00"
Super built-up  Area,4th T block Jayanagar,2401,3,3,2,"₹ 18,500,000.00"
Plot  Area,Bommenahalli,1670,3,4,0,"₹ 13,500,000.00"
Built-up  Area,Jayanagar,1875,2,3,3,"₹ 23,500,000.00"
Plot  Area,Marsur,1200,3,3,1,"₹ 9,000,000.00"
Super built-up  Area,Dodda Nekkundi,1804,3,3,2,"₹ 12,100,000.00"
Super built-up  Area,1st Phase JP Nagar,2065,4,3,1,"₹ 21,000,000.00"
Super built-up  Area,Hoskote,1225,3,3,1,"₹ 4,000,000.00"
Super built-up  Area,Bellandur,900,2,2,2,"₹ 5,600,000.00"
Super built-up  Area,Binny Pete,1350,2,2,1,"₹ 9,100,000.00"
Super built-up  Area,Kaggalipura,700,1,1,0,"₹ 3,600,000.00"
Super built-up  Area,Poorna Pragna Layout,1160,2,2,1,"₹ 4,639,000.00"
Super built-up  Area,Hennur Road,1680,3,3,0,"₹ 9,927,000.00"
Carpet  Area,LB Shastri Nagar,1043,2,2,2,"₹ 5,500,000.00"
Plot  Area,Hoskote,1200,4,4,1,"₹ 12,000,000.00"
Super built-up  Area,Hebbal,1040,2,2,2,"₹ 4,600,000.00"
Super built-up  Area,Tindlu,1357,2,3,2,"₹ 6,500,000.00"
Plot  Area,Nayandanahalli,1600,7,7,1,"₹ 10,400,000.00"
Super built-up  Area,Vibhutipura Extension,1225,2,2,2,"₹ 4,700,000.00"
Plot  Area,Sunkadakatte,1500,6,9,1,"₹ 8,000,000.00"
Super built-up  Area,Yelachenahalli,1130,2,2,2,"₹ 4,000,000.00"
Built-up  Area,Basavangudi,2500,4,4,1,"₹ 15,000,000.00"
Carpet  Area,Sultan Palaya,1700,3,3,3,"₹ 12,000,000.00"
Super built-up  Area,Doddathoguru,1549,3,3,2,"₹ 6,500,000.00"
Super built-up  Area,Yeshwanthpur,1400,2,2,2,"₹ 10,000,000.00"
Super built-up  Area,Dodda Nekkundi,1080,2,2,2,"₹ 5,000,000.00"
Built-up  Area,Ulsoor,1180,2,2,2,"₹ 10,000,000.00"
Plot  Area,Chandra Layout,780,7,7,3,"₹ 15,000,000.00"
Super built-up  Area,Domlur,1800,3,3,2,"₹ 15,000,000.00"
Super built-up  Area,Haralur Road,1225,2,2,1,"₹ 6,738,000.00"
Built-up  Area,Chandra Layout,890,1,1,1,"₹ 7,500,000.00"
Super built-up  Area,Abbigere,1005,2,2,1,"₹ 3,959,000.00"
Super built-up  Area,Whitefield,1320,2,2,1,"₹ 9,500,000.00"
Built-up  Area,Anandapura,1475,2,4,1,"₹ 5,000,000.00"
Super built-up  Area,Hagadur,1110,2,2,2,"₹ 5,100,000.00"
Plot  Area,Popular Colony,1300,2,2,0,"₹ 5,400,000.00"
Plot  Area,Vajarahalli,600,3,5,1,"₹ 8,600,000.00"
Super built-up  Area,Electronic City,1128,2,2,1,"₹ 6,535,000.00"
Super built-up  Area,Jakkur,1452.19,2,2,1,"₹ 10,000,000.00"
Plot  Area,8th block Koramangala,2400,3,3,2,"₹ 29,000,000.00"
Super built-up  Area,Banashankari,2600,4,3,1,"₹ 13,500,000.00"
Super built-up  Area,Sarakki Nagar,2500,4,3,2,"₹ 32,500,000.00"
Built-up  Area,Sanjay nagar,630,1,2,1,"₹ 3,500,000.00"
Super built-up  Area,Hosa Road,1243,2,2,2,"₹ 4,850,000.00"
Built-up  Area,Soundarya Layout,960,2,2,2,"₹ 3,200,000.00"
Super built-up  Area,"Banashankari 6th Stage ,Subramanyapura",1690,3,3,2,"₹ 10,000,000.00"
Built-up  Area,Whitefield,735,2,2,1,"₹ 3,500,000.00"
Super built-up  Area,Banaswadi,1365,2,2,2,"₹ 7,300,000.00"
Super built-up  Area,Rajaji Nagar,2849,5,5,0,"₹ 30,000,000.00"
Super built-up  Area,Hebbal,1420,2,2,1,"₹ 9,939,000.00"
Super built-up  Area,Somasundara Palya,1570,3,3,3,"₹ 6,800,000.00"
Super built-up  Area,Bisuvanahalli,850,1,2,1,"₹ 3,200,000.00"
Super built-up  Area,7th Phase JP Nagar,1575,2,3,2,"₹ 11,000,000.00"
Super built-up  Area,Thigalarapalya,1418,2,2,2,"₹ 10,400,000.00"
Super built-up  Area,Uttarahalli,1050,2,2,1,"₹ 4,200,000.00"
Super built-up  Area,Hennur Road,1065,2,2,1,"₹ 4,260,000.00"
Built-up  Area,Ulsoor,1340,3,3,0,"₹ 9,000,000.00"
Super built-up  Area,Yelahanka New Town,1610,3,3,2,"₹ 9,200,000.00"
Built-up  Area,Electronic City Phase II,1160,2,2,1,"₹ 3,350,000.00"
Super built-up  Area,Kudlu,1092,2,2,2,"₹ 4,400,000.00"
Super built-up  Area,Parappana Agrahara,1194,2,2,2,"₹ 4,700,000.00"
Super built-up  Area,Yelahanka,1455,3,3,1,"₹ 6,150,000.00"
Super built-up  Area,Abbigere,734,1,1,0,"₹ 1,982,000.00"
Built-up  Area,Samethanahalli,799,2,2,1,"₹ 3,800,000.00"
Built-up  Area,Whitefield,1896,3,3,1,"₹ 7,500,000.00"
Super built-up  Area,Ardendale,1100,2,2,1,"₹ 4,800,000.00"
Built-up  Area,Bellandur,1350,2,2,1,"₹ 7,900,000.00"
Super built-up  Area,Amarjyothi Colony,1355,3,3,1,"₹ 6,100,000.00"
Super built-up  Area,Electronic City,1128,2,2,1,"₹ 6,500,000.00"
Plot  Area,Pattanagere,1350,2,2,0,"₹ 9,000,000.00"
Super built-up  Area,Cunningham Road,3875,3,3,2,"₹ 86,400,000.00"
Super built-up  Area,Kasavanhalli,1493,3,3,2,"₹ 8,200,000.00"
Super built-up  Area,8th Phase JP Nagar,1098,2,2,1,"₹ 4,391,000.00"
Super built-up  Area,Banashankari,1900,2,3,1,"₹ 17,000,000.00"
Super built-up  Area,Dollars Layout,1460,3,3,2,"₹ 8,800,000.00"
Super built-up  Area,Frazer Town,2350,4,3,3,"₹ 28,500,000.00"
Plot  Area,Horamavu Banaswadi,1600,5,5,3,"₹ 14,000,000.00"
Super built-up  Area,Varthur,1091,2,2,1,"₹ 3,200,000.00"
Super built-up  Area,Yelahanka,1180,2,2,3,"₹ 4,200,000.00"
Super built-up  Area,Kanakpura Road,1366,3,2,1,"₹ 7,685,000.00"
Super built-up  Area,RMV Extension,1685,3,3,2,"₹ 9,500,000.00"
Built-up  Area,Koramangala,1260,2,2,3,"₹ 10,000,000.00"
Plot  Area,Whitefield,3010,3,3,2,"₹ 20,000,000.00"
Plot  Area,Ramamurthy Nagar,1330,4,3,1,"₹ 14,000,000.00"
Plot  Area,Mallasandra,1200,2,2,0,"₹ 13,000,000.00"
Super built-up  Area,Whitefield,1346,2,2,1,"₹ 9,617,000.00"
Super built-up  Area,Chandapura,630,1,1,0,"₹ 1,386,000.00"
Super built-up  Area,7th Phase JP Nagar,1850,3,3,2,"₹ 14,000,000.00"
Plot  Area,Frazer Town,2350,2,5,0,"₹ 42,300,000.00"
Super built-up  Area,Electronic City,755,1,2,1,"₹ 3,400,000.00"
Plot  Area,Basaveshwara Nagar Yelahanka,800,5,5,2,"₹ 9,800,000.00"
Super built-up  Area,Parappana Agrahara,1194,2,2,2,"₹ 4,600,000.00"
Super built-up  Area,Whitefield,3850,5,3,0,"₹ 31,600,000.00"
Super built-up  Area,Hebbal,4235,4,4,2,"₹ 36,500,000.00"
Plot  Area,Kurubarahalli,800,1,1,0,"₹ 5,200,000.00"
Super built-up  Area,Rachenahalli,2250,3,3,1,"₹ 19,500,000.00"
Super built-up  Area,Vijayanagar,1352,2,2,2,"₹ 6,800,000.00"
Super built-up  Area,Thanisandra,2002,3,3,2,"₹ 11,200,000.00"
Plot  Area,Bileshivale,4000,5,4,1,"₹ 28,000,000.00"
Built-up  Area,Kaval Byrasandra,1060,2,2,2,"₹ 4,500,000.00"
Super built-up  Area,Kanakpura Road,1419.59,2,3,1,"₹ 5,900,000.00"
Super built-up  Area,Raja Rajeshwari Nagar,1196,2,2,2,"₹ 5,115,000.00"
Built-up  Area,Electronic City,1220,2,3,2,"₹ 3,524,000.00"
Super built-up  Area,Electronics City Phase 1,1595,3,3,2,"₹ 7,500,000.00"
Super built-up  Area,Banashankari,1260,2,2,3,"₹ 7,500,000.00"
Super built-up  Area,Hebbal,1100,2,2,2,"₹ 4,700,000.00"
Super built-up  Area,Frazer Town,1550,2,2,2,"₹ 14,000,000.00"
Super built-up  Area,ISRO Layout,1180,2,2,3,"₹ 5,200,000.00"
Plot  Area,Electronic City,4000,5,4,1,"₹ 15,000,000.00"
Built-up  Area,Akshaya Nagar,1662,3,3,2,"₹ 8,500,000.00"
Super built-up  Area,Hennur,1285,2,2,1,"₹ 6,000,000.00"
Plot  Area,Akshaya Nagar,1080,4,4,1,"₹ 7,500,000.00"
Super built-up  Area,Ambedkar Nagar,1862,3,3,2,"₹ 11,900,000.00"
Super built-up  Area,Raja Rajeshwari Nagar,1419,2,2,2,"₹ 4,800,000.00"
Built-up  Area,Whitefield,1410,3,3,2,"₹ 4,371,000.00"
Super built-up  Area,Raja Rajeshwari Nagar,1560,2,3,2,"₹ 6,240,000.00"
Plot  Area,Chikkabettahalli,1100,4,5,3,"₹ 15,000,000.00"
Super built-up  Area,Thanisandra,1634,3,3,3,"₹ 7,800,000.00"
Plot  Area,Ambedkar Nagar,5530,5,5,3,"₹ 62,700,000.00"
Built-up  Area,Whitefield,1150,2,3,3,"₹ 4,400,000.00"
Super built-up  Area,Ashirvad Colony,1100,2,2,0,"₹ 5,300,000.00"
Super built-up  Area,Yelahanka,1616,3,3,1,"₹ 6,500,000.00"
Super built-up  Area,Nagavarapalya,1392,2,2,1,"₹ 9,900,000.00"
Super built-up  Area,Jakkur,1798,3,3,1,"₹ 12,000,000.00"
Super built-up  Area,Babusapalaya,1675,3,3,3,"₹ 7,500,000.00"
Plot  Area,Bhuvaneswari Nagar,792,2,2,1,"₹ 7,000,000.00"
Super built-up  Area,Varanasi,2000,4,5,1,"₹ 10,300,000.00"
Built-up  Area,Hongasandra,600,7,7,3,"₹ 8,900,000.00"
Super built-up  Area,Hebbal,1700,3,3,2,"₹ 12,400,000.00"
Super built-up  Area,Hulimavu,1248,2,2,1,"₹ 6,900,000.00"
Built-up  Area,Kalkere,1147,2,2,1,"₹ 5,400,000.00"
Super built-up  Area,Sultan Palaya,1100,2,2,2,"₹ 4,000,000.00"
Super built-up  Area,Vijayanagar,1527,3,3,2,"₹ 11,500,000.00"
Plot  Area,Shantiniketan Layout,2400,5,5,2,"₹ 23,500,000.00"
Super built-up  Area,Kanakpura Road,525,1,1,1,"₹ 2,500,000.00"
Super built-up  Area,Kaggadasapura,1100,2,2,3,"₹ 5,800,000.00"
Super built-up  Area,Seegehalli,1118,2,2,2,"₹ 3,750,000.00"
Super built-up  Area,Kanakapura,1476,3,3,1,"₹ 7,500,000.00"
Built-up  Area,Gopal Reddy Layout,2100,3,3,1,"₹ 7,500,000.00"
Super built-up  Area,Roopena Agrahara,1215,2,3,2,"₹ 4,650,000.00"
Super built-up  Area,Ambalipura,1332,2,2,1,"₹ 7,900,000.00"
Super built-up  Area,Hennur Road,1350,2,2,3,"₹ 4,900,000.00"
Plot  Area,Kothannur,600,4,4,1,"₹ 8,100,000.00"
Super built-up  Area,Haralur Road,1243,2,2,2,"₹ 4,600,000.00"
Super built-up  Area,NGR Layout,1105,2,2,2,"₹ 4,973,000.00"
Plot  Area,Padmanabhanagar,1500,2,3,1,"₹ 20,000,000.00"
Super built-up  Area,Kasavanhalli,1200,2,2,2,"₹ 5,000,000.00"
Super built-up  Area,Ramagondanahalli,1251,2,2,1,"₹ 4,740,000.00"
Super built-up  Area,Kambipura,883,2,2,1,"₹ 4,500,000.00"
Super built-up  Area,Pai Layout,1400,2,3,3,"₹ 6,700,000.00"
Super built-up  Area,Rajaji Nagar,1800,3,3,3,"₹ 26,000,000.00"
Super built-up  Area,Hegde Nagar,1703,3,3,2,"₹ 11,300,000.00"
Super built-up  Area,NRI Layout,2500,5,5,3,"₹ 13,000,000.00"
Super built-up  Area,Varthur,1250,3,3,0,"₹ 7,100,000.00"
Super built-up  Area,Jigani,933,2,2,2,"₹ 4,300,000.00"
Plot  Area,sankeswari,461.82,1,1,1,"₹ 3,170,000.00"
Super built-up  Area,Brookefield,1262,2,2,1,"₹ 7,500,000.00"
Super built-up  Area,Yelahanka,915,2,2,2,"₹ 4,800,000.00"
Super built-up  Area,Panathur,1370,2,3,2,"₹ 6,150,000.00"
Super built-up  Area,Malleshpalya,1210,2,2,3,"₹ 5,500,000.00"
Super built-up  Area,Kodihalli,2392,4,3,2,"₹ 26,000,000.00"
Plot  Area,T c palya,1500,2,3,0,"₹ 8,500,000.00"
Super built-up  Area,Govindraja Nagar,1065,2,2,3,"₹ 5,000,000.00"
Super built-up  Area,Rajaji Nagar,3100,4,4,2,"₹ 57,000,000.00"
Super built-up  Area,Ramamurthy Nagar,1515,3,3,3,"₹ 6,500,000.00"
Plot  Area,Sarjapura - Attibele Road,1800,4,4,0,"₹ 11,000,000.00"
Super built-up  Area,Thanisandra,1445,2,3,3,"₹ 4,031,000.00"
Super built-up  Area,Uttarahalli,1300,2,3,1,"₹ 5,500,000.00"
Built-up  Area,Vijayanagar,989,2,2,0,"₹ 6,000,000.00"
Super built-up  Area,Jakkur,1300,2,2,1,"₹ 8,500,000.00"
Super built-up  Area,Chandapura,1185,2,3,2,"₹ 3,022,000.00"
Plot  Area,Battarahalli,1350,3,5,1,"₹ 11,000,000.00"
Super built-up  Area,Marathahalli,1045,2,2,3,"₹ 6,000,000.00"
Super built-up  Area,Virat Nagar,1205,2,2,2,"₹ 4,218,000.00"
Super built-up  Area,Chennammanakere Achukattu,1260,2,2,1,"₹ 7,500,000.00"
Plot  Area,Devanahalli Road,1320,5,5,2,"₹ 19,900,000.00"
Super built-up  Area,Ulsoor,1500,2,3,2,"₹ 12,500,000.00"
Super built-up  Area,Bommanahalli,1250,2,3,2,"₹ 4,250,000.00"
Built-up  Area,"Maragondana Halli, kr puram, old madras road",1199,2,2,2,"₹ 5,000,000.00"
Super built-up  Area,Hennur Road,1385,2,2,1,"₹ 8,309,000.00"
Plot  Area,Dhanalakshmi Layout,1222,5,6,3,"₹ 25,000,000.00"
